成交日期      ,成交时间    ,证券代码    ,证券名称    ,委托方向    ,成交数量    ,成交均价    ,成交金额     ,佣金     ,印花税    
2023/12/27,19:40:15,713077      ,华康发债    ,配售申购    ,10,100,1000,0,0
2023/12/25,13:20:15,300750      ,宁德时代    ,证券买入    ,100,156,15600,4,0
2023/11/14,14:01:08,300624      ,万兴科技    ,证券买入    ,200,93.51,18702,3.8,0
2023/11/7,10:20:13,300750      ,宁德时代    ,证券买入    ,100,191.35,19135,3.78,0
2023/11/7,10:10:15,002415      ,海康威视    ,证券买入    ,1500,37.22,55830,2.58,0
2023/11/7,9:36:01,300059      ,东方财富    ,证券买入    ,1200,15.77,18924,3.79,0
2023/11/3,10:51:49,002415      ,海康威视    ,证券买入    ,600,36.11,21666,3.61,0
2023/10/26,14:58:16,512880      ,证券ETF     ,证券卖出    ,6000,0.943,5658,0.39,0
2023/10/26,13:52:26,600276      ,恒瑞医药    ,证券卖出    ,300,44.34,13302,4.28,6.65
2023/10/25,14:56:04,600031      ,三一重工    ,证券卖出    ,1000,14.6,14600,4.21,7.3
2023/10/24,14:28:18,603259      ,药明康德    ,证券卖出    ,100,84.46,8446,4.54,4.22
2023/10/24,13:52:42,600196      ,复星医药    ,证券卖出    ,1700,27.12,46104,2.59,23.07
2023/10/24,13:52:02,600036      ,招商银行    ,证券卖出    ,100,31.28,3128,4.83,1.56
2023/10/24,13:50:03,600585      ,海螺水泥    ,证券卖出    ,500,23.4,11700,4.37,5.85
2023/10/24,13:45:08,600309      ,万华化学    ,证券卖出    ,100,84.5,8450,4.54,4.23
2023/10/24,10:07:25,002714      ,牧原股份    ,证券卖出    ,640,31.74,20313.6,3.69,10.16
2023/10/23,13:30:31,002415      ,海康威视    ,证券卖出    ,2200,33.99,74778,3.43,37.39
2023/10/23,11:29:49,601318      ,中国平安    ,证券卖出    ,100,46.02,4602,4.75,2.3
2023/10/23,11:09:49,002475      ,立讯精密    ,证券卖出    ,100,31.9,3190,4.8,1.6
2023/9/15,10:05:35,002415      ,海康威视    ,证券买入    ,400,33.13,13252,4.14,0
2023/8/16,9:57:11,002415      ,海康威视    ,证券买入    ,400,34.65,13860,3.91,0
2023/8/7,14:06:54,600196      ,复星医药    ,证券买入    ,500,30.13,15065,3.97,0
2023/8/1,10:10:52,002415      ,海康威视    ,证券买入    ,400,36.15,14460,3.87,0
2023/7/19,13:23:23,600438      ,通威股份    ,证券买入    ,300,33.68,10104,4.31,0
2023/7/10,10:13:55,300059      ,东方财富    ,证券买入    ,800,14.18,11344,4.11,0
2023/5/31,13:28:22,300059      ,东方财富    ,证券买入    ,1000,14.1,14100,3.89,0
2023/5/22,14:25:20,600276      ,恒瑞医药    ,证券买入    ,300,48.8,14640,4,0
2023/5/17,10:00:33,300059      ,东方财富    ,证券买入    ,900,15.82,14238,3.89,0
2023/5/10,14:08:18,688469      ,N中芯       ,证券卖出    ,500,6.15,3075,4.79,3.08
2023/4/28,19:53:39,787469      ,中芯申购    ,配售申购    ,500,5.69,2845,0,0
2023/4/27,9:45:24,300750      ,宁德时代    ,证券买入    ,100,224.6,22460,3.86,0
2023/2/17,10:59:12,600009      ,上海机场    ,证券买入    ,200,61,12200,4.17,0
