股票名称,股票代码,平均成本价,当前价,数量,盈亏率,盈亏额,市值
顺丰控股,002352.SZ,64.15,65.35,100,1.87%,120.0,6325.0
海康威视,002415.SZ,24.088,55.0,400,128.33%,12365.0,38028.0
立讯精密,002475.SZ,49.7,35.71,100,-28.15%,-1399.0,4267.0
牧原股份,002714.SZ,47.95,51.9,340,8.24%,1343.0,7246.0
爱尔眼科,300015.SZ,43.678000000000004,53.4,130,22.26%,1264.0,8636.0
东方财富,300059.SZ,11.66,34.37,576,194.77%,13081.0,18766.0
宁德时代,300750.SZ,390.858,525.73,100,34.51%,13487.0,52350.0
三一重工,600031.SH,28.943,25.44,400,-12.1%,-1401.0,10136.0
招商银行,600036.SH,54.38800000000001,50.45,100,-7.24%,-394.0,5083.0
复星医药,600196.SH,56.346000000000004,52.3,200,-7.18%,-809.0,6520.0
万华化学,600309.SH,111.95200000000001,106.75,100,-4.65%,-520.0,7012.0
中国平安,601318.SH,74.852,48.36,100,-35.39%,-2649.0,5935.0
